Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,Survived,Survived_label,Sex_label
1,22.0,7.25,0,1,0,3,2.0,0,Not Survived,Male
2,38.0,71.2833,1,1,0,1,0.0,1,Survived,Female
3,26.0,7.925,1,0,0,3,2.0,1,Survived,Female
4,35.0,53.1,1,1,0,1,2.0,1,Survived,Female
5,35.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
6,28.0,8.4583,0,0,0,3,1.0,0,Not Survived,Male
7,54.0,51.8625,0,0,0,1,2.0,0,Not Survived,Male
8,2.0,21.075,0,3,1,3,2.0,0,Not Survived,Male
9,27.0,11.1333,1,0,2,3,2.0,1,Survived,Female
10,14.0,30.0708,1,1,0,2,0.0,1,Survived,Female
11,4.0,16.7,1,1,1,3,2.0,1,Survived,Female
12,58.0,26.55,1,0,0,1,2.0,1,Survived,Female
13,20.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
14,39.0,31.275,0,1,5,3,2.0,0,Not Survived,Male
15,14.0,7.8542,1,0,0,3,2.0,0,Not Survived,Female
16,55.0,16.0,1,0,0,2,2.0,1,Survived,Female
17,2.0,29.125,0,4,1,3,1.0,0,Not Survived,Male
18,28.0,13.0,0,0,0,2,2.0,1,Survived,Male
19,31.0,18.0,1,1,0,3,2.0,0,Not Survived,Female
20,28.0,7.225,1,0,0,3,0.0,1,Survived,Female
21,35.0,26.0,0,0,0,2,2.0,0,Not Survived,Male
22,34.0,13.0,0,0,0,2,2.0,1,Survived,Male
23,15.0,8.0292,1,0,0,3,1.0,1,Survived,Female
24,28.0,35.5,0,0,0,1,2.0,1,Survived,Male
25,8.0,21.075,1,3,1,3,2.0,0,Not Survived,Female
26,38.0,31.3875,1,1,5,3,2.0,1,Survived,Female
27,28.0,7.225,0,0,0,3,0.0,0,Not Survived,Male
28,19.0,263.0,0,3,2,1,2.0,0,Not Survived,Male
29,28.0,7.8792,1,0,0,3,1.0,1,Survived,Female
30,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
31,40.0,27.7208,0,0,0,1,0.0,0,Not Survived,Male
32,28.0,146.5208,1,1,0,1,0.0,1,Survived,Female
33,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
34,66.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
35,28.0,82.1708,0,1,0,1,0.0,0,Not Survived,Male
36,42.0,52.0,0,1,0,1,2.0,0,Not Survived,Male
37,28.0,7.2292,0,0,0,3,0.0,1,Survived,Male
38,21.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
39,18.0,18.0,1,2,0,3,2.0,0,Not Survived,Female
40,14.0,11.2417,1,1,0,3,0.0,1,Survived,Female
41,40.0,9.475,1,1,0,3,2.0,0,Not Survived,Female
42,27.0,21.0,1,1,0,2,2.0,0,Not Survived,Female
43,28.0,7.8958,0,0,0,3,0.0,0,Not Survived,Male
44,3.0,41.5792,1,1,2,2,0.0,1,Survived,Female
45,19.0,7.8792,1,0,0,3,1.0,1,Survived,Female
46,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
47,28.0,15.5,0,1,0,3,1.0,0,Not Survived,Male
48,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
49,28.0,21.6792,0,2,0,3,0.0,0,Not Survived,Male
50,18.0,17.8,1,1,0,3,2.0,0,Not Survived,Female
51,7.0,39.6875,0,4,1,3,2.0,0,Not Survived,Male
52,21.0,7.8,0,0,0,3,2.0,0,Not Survived,Male
53,49.0,76.7292,1,1,0,1,0.0,1,Survived,Female
54,29.0,26.0,1,1,0,2,2.0,1,Survived,Female
55,65.0,61.9792,0,0,1,1,0.0,0,Not Survived,Male
56,28.0,35.5,0,0,0,1,2.0,1,Survived,Male
57,21.0,10.5,1,0,0,2,2.0,1,Survived,Female
58,28.5,7.2292,0,0,0,3,0.0,0,Not Survived,Male
59,5.0,27.75,1,1,2,2,2.0,1,Survived,Female
60,11.0,46.9,0,5,2,3,2.0,0,Not Survived,Male
61,22.0,7.2292,0,0,0,3,0.0,0,Not Survived,Male
62,38.0,80.0,1,0,0,1,,1,Survived,Female
63,45.0,83.475,0,1,0,1,2.0,0,Not Survived,Male
64,4.0,27.9,0,3,2,3,2.0,0,Not Survived,Male
65,28.0,27.7208,0,0,0,1,0.0,0,Not Survived,Male
66,28.0,15.2458,0,1,1,3,0.0,1,Survived,Male
67,29.0,10.5,1,0,0,2,2.0,1,Survived,Female
68,19.0,8.1583,0,0,0,3,2.0,0,Not Survived,Male
69,17.0,7.925,1,4,2,3,2.0,1,Survived,Female
70,26.0,8.6625,0,2,0,3,2.0,0,Not Survived,Male
71,32.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
72,16.0,46.9,1,5,2,3,2.0,0,Not Survived,Female
73,21.0,73.5,0,0,0,2,2.0,0,Not Survived,Male
